dxcode_0,dxcode_1,dxname_1
abd,abdt010,Neuroblastoma (NB)
abd,abdt010,Neuroblastoma (NB)
abd,abdt010,Neuroblastoma (NB)
abd,abdt020,Wilms Tumor (WT)
abd,abdt020,Wilms Tumor (WT)
abd,abdt020,Wilms Tumor (WT)
abd,abdt030,Other Kidney Tumor
abd,abdt030,Other Kidney Tumor
abd,abdt030,Other Kidney Tumor
abd,abdt030,Other Kidney Tumor
abd,abdt030,Other Kidney Tumor
abd,abdt050,Hepatoblastoma (HBL)
abd,abdt050,Hepatoblastoma (HBL)
abd,abdt050,Hepatoblastoma (HBL)
abd,abdt060,Hepatocellular Carcinoma (HCC)
abd,abdt070,Other liver tumor
abd,abdt080,Adrenocartical Carcinoma (ACC)
abd,abdt090,Colon Cancer
abd,abdt100,Pancreatic Tumor
abd,abdt100,Pancreatic Tumor
abd,abdt100,Pancreatic Tumor
abd,abdt110,Cholangio Cellular Carcinoma
abd,abdt120,Ovarian tumor
bt,brain010,Medulloblastoma (MBL)
bt,brain020,Atypical Teratoid Rhabdoid Tumor (ATRT)
bt,brain030,Primitive Neuroectodermal Tumor (PNET)
bt,brain040,CNS Germ Cell Tumor (CNS GCT)
bt,brain040,CNS Germ Cell Tumor (CNS GCT)
bt,brain040,CNS Germ Cell Tumor (CNS GCT)
bt,brain040,CNS Germ Cell Tumor (CNS GCT)
bt,brain040,CNS Germ Cell Tumor (CNS GCT)
bt,brain040,CNS Germ Cell Tumor (CNS GCT)
bt,brain050,Glioma
bt,brain050,Glioma
bt,brain050,Glioma
bt,brain050,Glioma
bt,brain050,Glioma
bt,brain050,Glioma
bt,brain050,Glioma
bt,brain050,Glioma
bt,brain050,Glioma
bt,brain050,Glioma
bt,brain050,Glioma
bt,brain050,Glioma
bt,brain050,Glioma
bt,brain050,Glioma
bt,brain050,Glioma
bt,brain060,Pineal Gland Tumor
bt,brain060,Pineal Gland Tumor
bt,brain060,Pineal Gland Tumor
bt,brain070,Ependymoma
bt,brain070,Ependymoma
bt,brain090,Other brain tumor
bt,brain090,Other brain tumor
bt,brain090,Other brain tumor
bt,brain090,Other brain tumor
coag,coag010,Hemophilia
coag,coag010,Hemophilia
coag,coag010,Hemophilia
coag,coag010,Hemophilia
coag,coag010,Hemophilia
coag,coag010,Hemophilia
coag,coag010,Hemophilia
coag,coag010,Hemophilia
coag,coag010,Hemophilia
coag,coag020,von Willebrand Disease (vWD)
coag,coag020,von Willebrand Disease (vWD)
coag,coag020,von Willebrand Disease (vWD)
coag,coag030,Platelet Function Disorder
coag,coag040,"Coagulation disorder, others"
coag,coag040,"Coagulation disorder, others"
coag,coag040,"Coagulation disorder, others"
coag,coag040,"Coagulation disorder, others"
coag,coag050,Thrombophilia
coag,coag050,Thrombophilia
coag,coag050,Thrombophilia
coag,coag050,Thrombophilia
coag,coag050,Thrombophilia
exgct,exgct010,ExtraCNS germ cell tumor (ExtraCNS GCT)
exgct,exgct010,ExtraCNS germ cell tumor (ExtraCNS GCT)
exgct,exgct010,ExtraCNS germ cell tumor (ExtraCNS GCT)
exgct,exgct010,ExtraCNS germ cell tumor (ExtraCNS GCT)
exgct,exgct010,ExtraCNS germ cell tumor (ExtraCNS GCT)
exgct,exgct010,ExtraCNS germ cell tumor (ExtraCNS GCT)
exgct,exgct010,ExtraCNS germ cell tumor (ExtraCNS GCT)
exgct,exgct010,ExtraCNS germ cell tumor (ExtraCNS GCT)
exgct,exgct010,ExtraCNS germ cell tumor (ExtraCNS GCT)
hema,hema010,bone marrow failure syndrome-AA
hema,hema020,bone marrow failure syndrome-hereditary
hema,hema030,Langerhans Cell Histiocytosis (LCH)
hema,hema040,Hemophagocytic Lymphohistiocytosis (HLH)
hema,hema050,Castleman Disease
